Имя	Группа	Профиль	Включено	Действие	Частота	Программа	Локальный адрес	Удаленный адрес	Протокол	Локальный порт	Удаленный порт	Авторизованные пользователи	Разрешенные компьютеры	Авторизованные локальные субъекты	Локальный пользователь-владелец	Пакет приложения	
code.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\programs\microsoft vs code\code.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
code.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\programs\microsoft vs code\code.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
fiddler everywhere.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\programs\fiddler everywhere\fiddler everywhere.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
fiddler everywhere.exe		Общий	Да	Разрешить	Нет	C:\users\maks\appdata\local\programs\fiddler everywhere\fiddler everywhere.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Google Chrome		Общий	Да	Блокировать	Нет	C:\program files (x86)\google\chrome\application\chrome.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Google Chrome		Общий	Да	Блокировать	Нет	C:\program files (x86)\google\chrome\application\chrome.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
hdset		Общий	Да	Блокировать	Нет	D:\program files\hdplayer\hdset.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
hdset		Общий	Да	Блокировать	Нет	D:\program files\hdplayer\hdset.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
hdset		Общий	Да	Разрешить	Нет	E:\hdplayer\hdset.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
hdset		Общий	Да	Разрешить	Нет	E:\hdplayer\hdset.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
